run_id,model_id,element_key,global_id,ids_version,specification,requirement,status,severity,ifc_class,element_name,expected,actual,reason
ids-v0.1-8706ef58303bfd11,hvac,hvac::34Y6EIt3nDCAS1k$kPGOKm,34Y6EIt3nDCAS1k$kPGOKm,0.1,R-004B: Air terminals need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,PASS,INFO,IfcAirTerminal,house fireplace cap,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,hvac,hvac::38WbwIGD90nB_3T2BTU5Ed,38WbwIGD90nB_3T2BTU5Ed,0.1,R-005A: Duct segments need assumed EPC metadata,EPC_Delivery.AssetTag,FAIL,WARNING,IfcDuctSegment,building element,AssetTag data shall be provided in the dataset EPC_Delivery,,The required property set does not exist
ids-v0.1-8706ef58303bfd11,hvac,hvac::38WbwIGD90nB_3T2BTU5Ed,38WbwIGD90nB_3T2BTU5Ed,0.1,R-005A: Duct segments need assumed EPC metadata,EPC_Delivery.SystemCode,FAIL,WARNING,IfcDuctSegment,building element,SystemCode data shall be provided in the dataset EPC_Delivery,,The required property set does not exist
ids-v0.1-8706ef58303bfd11,hvac,hvac::23uPJWDfXEcwHH3kdFgV9c,23uPJWDfXEcwHH3kdFgV9c,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.AssetTag,FAIL,WARNING,IfcAirTerminal,chimney cover,AssetTag data shall be provided in the dataset EPC_Delivery,,The required property set does not exist
ids-v0.1-8706ef58303bfd11,hvac,hvac::34Y6EIt3nDCAS1k$kPGOKm,34Y6EIt3nDCAS1k$kPGOKm,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.AssetTag,FAIL,WARNING,IfcAirTerminal,house fireplace cap,AssetTag data shall be provided in the dataset EPC_Delivery,,The required property set does not exist
ids-v0.1-8706ef58303bfd11,hvac,hvac::23uPJWDfXEcwHH3kdFgV9c,23uPJWDfXEcwHH3kdFgV9c,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.SystemCode,FAIL,WARNING,IfcAirTerminal,chimney cover,SystemCode data shall be provided in the dataset EPC_Delivery,,The required property set does not exist
ids-v0.1-8706ef58303bfd11,hvac,hvac::34Y6EIt3nDCAS1k$kPGOKm,34Y6EIt3nDCAS1k$kPGOKm,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.SystemCode,FAIL,WARNING,IfcAirTerminal,house fireplace cap,SystemCode data shall be provided in the dataset EPC_Delivery,,The required property set does not exist
ids-v0.1-8706ef58303bfd11,structural,structural::0DyViLJJ175RvWQi1rE7a6,0DyViLJJ175RvWQi1rE7a6,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - outer wall - house back,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::2gTJhghMT81QThk15l2VwR,2gTJhghMT81QThk15l2VwR,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - inner wall,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::3SGBcf7Lv0r80vKtUCgOpf,3SGBcf7Lv0r80vKtUCgOpf,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - outer wall - house front,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::3oNJ9yHi5FJuFnK8yg68Yt,3oNJ9yHi5FJuFnK8yg68Yt,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - outer wall - house front right,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::0DyViLJJ175RvWQi1rE7a6,0DyViLJJ175RvWQi1rE7a6,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - outer wall - house back,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::2gTJhghMT81QThk15l2VwR,2gTJhghMT81QThk15l2VwR,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - inner wall,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::3SGBcf7Lv0r80vKtUCgOpf,3SGBcf7Lv0r80vKtUCgOpf,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - outer wall - house front,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::3oNJ9yHi5FJuFnK8yg68Yt,3oNJ9yHi5FJuFnK8yg68Yt,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - outer wall - house front right,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::0Lvk$Qa81D5et3l3a4S9Vk,0Lvk$Qa81D5et3l3a4S9Vk,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,PASS,INFO,IfcBeam,girder,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::0fqX614OH1YO1Njdxms2$Q,0fqX614OH1YO1Njdxms2$Q,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,PASS,INFO,IfcBeam,girder,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::0rh7bRO0L9fg1NzgGKU$Ut,0rh7bRO0L9fg1NzgGKU$Ut,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,PASS,INFO,IfcBeam,girder,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::2ddLgAnQf4mBfh5IpUp54U,2ddLgAnQf4mBfh5IpUp54U,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,PASS,INFO,IfcBeam,girder,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::2fjJuPht9EIQaZQYZfC1Op,2fjJuPht9EIQaZQYZfC1Op,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,PASS,INFO,IfcBeam,girder,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,structural::3roxUKbVv98xiUcl22_T07,3roxUKbVv98xiUcl22_T07,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,PASS,INFO,IfcBeam,girder,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,structural,,,0.1,R-004A: Duct segments need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,N/A,INFO,,,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,structural,,,0.1,R-004B: Air terminals need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,N/A,INFO,,,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,structural,,,0.1,R-005A: Duct segments need assumed EPC metadata,EPC_Delivery.AssetTag,N/A,INFO,,,AssetTag data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,structural,,,0.1,R-005A: Duct segments need assumed EPC metadata,EPC_Delivery.SystemCode,N/A,INFO,,,SystemCode data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,structural,,,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.AssetTag,N/A,INFO,,,AssetTag data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,structural,,,0.1,R-005B: Air terminals need assumed EPC metadata,EPC_Delivery.SystemCode,N/A,INFO,,,SystemCode data shall be provided in the dataset EPC_Delivery,,No applicable elements exist in this model.
